S.No.,Product Name,MRP (Rs.),Pack Size,File Name
67,Duolium-3 Respules,117.15,10x5x3ml,Innoventis\Duolium-3 Respules 10x5x3ml.webp
68,Enterolium Suspension,67,20x10x5ml,Innoventis\Enterolium Suspension.webp
69,Exoffin-Plus Suspension,0,170ml,Innoventis\Exoffin-Plus 170ml Suspension.webp
70,Fastodine Ointment,80.43,15gm,Innoventis\Fastodine 15 gm.webp
71,Fastodine Solution,47.25,100ml,Innoventis\Fastodine Solution 100ml.webp
72,Fastodine Solution,236.25,500ml,Innoventis\Fastodine Solution 500ml.webp
73,Fastodine-M Ointment,113.43,15gm,Innoventis\Fastodine-M Ointment 15gm.webp
74,Fastodine-OZ,80.43,15gm,Innoventis\Fastodine-OZ 15gm.webp
75,Feromont Injection,308.64,5x1x5ml,Innoventis\Feromont Injection.webp
76,Feromont-XT Tablets,158.81,5x3x10,Innoventis\Feromont-XT 5x3x10 Tablets.jpg
77,Frutilium Syrup,323,200ml,Innoventis\Frutilium 200ml Syrup.webp
78,Fungiride-5 NF Cream,106,15gm,Innoventis\Fungiride-5 Cream 15gm.webp
79,Gababenz-NT 100 Tablets,127.85,10x15,Innoventis\Gababenz-NT 100 Tablets.webp
80,Gababenz-NT 400 Tablets,292.87,20x10,Innoventis\Gababenz-NT 400 Tablets.webp
81,Gutcore Capsules,158,10x1x10,Innoventis\Gutcore 10x1x10 Capsules.webp
82,Healozyme-A Tablets,243.8,10x10,Innoventis\Healozyme-A Tablets.webp
83,Healozyme-D Tablets,243.8,10x10,Innoventis\Healozyme-D Tablets.webp
84,Ibubenz-Plus Suspension,74.86,60ml,Innoventis\Ibubenz-PLUS Suspension 60ml.jpg
85,Innocortil-10 Tablets,12.91,50x10,Innoventis\Innocortil-10 50x10 Tablets.webp
86,Innocortil-5 Tablets,7.24,50x10,Innoventis\Innocortil-5 50x10 Tablets.webp
87,Innoxone 1G Injection,67.07,1g,Innoventis\Innoxone 1G Injection.webp
88,Innoxone S-1.5 Injection,202.12,1.5g,Innoventis\Innoxone S 1 5 Injection.webp
89,Itravent-100 Capsules,179.23,10x1x10,Innoventis\Itravent 100 Capsules.webp
90,Itravent-200 Capsules,237.82,10x1x10,Innoventis\Itravent 200 Capsules.webp
91,Itravent-OC Cream,113.4,15gm,Innoventis\Itravent-OC 15gm.webp
92,Lactulium Solution,132.3,100ml,Innoventis\Lactulium 200ml Solution.webp
92,Lactulium Solution,264.6,200ml,Innoventis\Lactulium 200ml Solution.webp
93,Linzolium 600 Tablets,383.56,10x1x10,Innoventis\lINZOLIUM 600 TAB.webp
94,Livbenz 4G Syrup,236.25,225ml,Innoventis\Livbenz 4G Syrup 225ml.webp
95,Lopavent-2 Capsules,40.84,10x3x10,Innoventis\LOPAVENT-2 10x3x10 Capsules.webp
96,Lycominta (Softgel Capsule),0,10x1x10,Innoventis\Lycominta 10x1x10 Softgel.webp
98,Megadron 4 Tablets,92.8,20x14,Innoventis\Megadron 4 20x14 Tablets.webp
99,Megadron 8 Tablets,138.15,20x14,Innoventis\Megadron 8 20x14 Tablets.webp
97,Megadron-16 Tablets,221.7,20x14,Innoventis\Megadron 16 20x14 Tablets.webp
100,Merobell 1gm Injection,1024.4,1gm,Innoventis\Merobell 1gm Injection.webp
101,Metrobact Infusion,22.05,100ml,Innoventis\Metrobact 100ml Infusion.webp
102,Mikabenz-500 Injection,116.48,10x3x2ml,Innoventis\Mikabenz-500 10x3x2ml Injection.webp
103,Momebright Cream,154.68,20gm,Innoventis\MomeBright Cream 20gm.webp
104,Momebright-HT Cream,0,20gm,Innoventis\MomeBright-HT Cream 20gm.jpg
105,Montilium-BL Tablets,201,10x1x10,Innoventis\Montilium-BL 10x1x10 Tablets.webp
106,Montilium-FX Tablets,239,10x1x10,Innoventis\Montilium-FX 10x1x10 Tablets.webp
107,Montilium-LC Syrup,77.13,30ml,Innoventis\Montilium-LC 30ml Syrup.webp
108,Montilium-LC Tablets,322.78,10x1x15,Innoventis\Montilium-LC Tablets 10x1x15.jpg
109,Moxiride Eye Drops,183.56,25x1x5ml,Innoventis\Moxiride 25x1x5ml Eye Drops.webp
110,Moxiride-D Eye Droper,183.56,10ml,Innoventis\Moxiride-D Eye Droper 10ml.webp
111,Moxiride-K Eye Drops,183.56,25x1x10ml,Innoventis\Moxiride-K 25x1x10ml Eye Drops.webp
112,Moxirol-250 Capsules (Y-G) And (R-W),26.25,10x3x10,Innoventis\Moxirol-250 Capsules 10x3x10 (Y-G) And (R-W).webp
113,Moxirol-250 DT Tablets,126.56,20x10,Innoventis\Moxirol-250 DT 20x10 Tablets.webp
114,Moxirol-500 Capsules,79.17,10x2x10,Innoventis\Moxirol-500 Capsules 10x2x10.webp
115,Moxirol-CV 228.5 Dry Syrup,65.2,30ml,Innoventis\Moxirol-CV 228-5 Dry Syrup.webp
116,Moxirol-CV 375 Tablets,240.7,10x2x10,Innoventis\Moxirol-CV 375 10x2x10 Tablets.webp
117,Moxirol-CV 625 Tablets Alu Alu,118.06,20x6,Innoventis\Moxirol-CV 625 Tab 20x6 Alu Alu.webp
117,Moxirol-CV 625 Tablets Alu Alu,196.77,10x1x10,Innoventis\Moxirol-CV 625 Tab 10x1x10 Alu Alu.webp
118,Moxirol-CV-DS Sry Syrup,196.15,30ml,Innoventis\Moxirol-CV-DS Sry Syrup 30ml.webp
119,Moxirol-LB 625 Tablets,424.85,10x2x10,Innoventis\Moxirol-LB 625 10x2x10 Tablets.webp
120,Moxirol-Plus LB Capsules,96.37,20x10,Innoventis\MOxirol-Plus LB 20x10 Capsules.webp
121,Naclofen-Spas Tablets,99.82,20x10,Innoventis\Naclofen Spas 20x10 Tablets.webp
122,Naclofen-200 SR Tablets,88.68,10x10,Innoventis\Naclofen-200 SR Tablets.jpg
